Date,Lobbyist,Lobbyist_Firm,Official,Official_Department,Lobbyist_Client,MunicipalDecision,DesiredOutcome,FileNumber,LobbyingSubjectArea
02/11/2011,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Chiu, David",Board Of Supervisors,Boma San Francisco,Yellow Books,Supported opt out rather than opt in format for controlling Yellow Book distribution,n/a,Environment
02/15/2011,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Lee, Edwin",Mayor Office Of The,Boma San Francisco,Mobile Food Trucks,Modifications requested of new permitting process for mobile food trucks,29810,Government Administration
01/11/2011,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Schultheis, Barbara",Fire Department,Boma San Francisco,Local Fire Codes,Explanation of variance between state and local fire codes.,n/a,Public Safety
01/31/2011,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Kato, Greg",Treasurer/tax Collector Office Of The,Boma San Francisco,Parking Bonding Requirements,More reasonable bonding limits for smaller garages,n/a,Government Administration
12/01/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Reiskin, Ed",Public Works Department Of,Boma San Francisco,Public Works Update,Update on the city's roads and sidewalks repair programs.,n/a,Public Works
12/01/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Reiskin, Ed",Public Works Department Of,Boma San Francisco,Public Works Update,Update on the city's roads and sidewalks repair programs.,n/a,Public Works
12/08/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Day, Vivian",Building Inspection Department Of,Boma San Francisco,Building Codes,Regular review of current code enforcements at DBI and impacts on Commercial Real Estate,,Planning and Building Permits
12/08/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Partin, Johanna",Mayor Office Of The,Boma San Francisco,Commercial Buildings Energy Performance Ordinance,Fair treatment for commercial office buildings in determining and reporting energy consumption.,101105,Environment
12/08/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Schultheis, Barbara",Fire Department,Boma San Francisco,Local Fire Codes,Explanation of variance between state and local fire codes.,n/a,Public Safety
12/13/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Goudeau, Matthew",Mayor Office Of The,Boma San Francisco,Finance Corporation,Appointment to city Finance Corporation,n/a,Open Government
12/14/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Hooper, Barry","Environment, Department Of The",Boma San Francisco,Commercial Buildings Energy Performance Ordinance,Fair treatment for commercial office buildings in determining and reporting energy consumption.,101105,Environment
11/04/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Schultheis, Barbara",Fire Department,Boma San Francisco,Local Fire Codes,Explanation of variance between state and local fire codes.,n/a,Public Safety
11/10/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Schultheis, Barbara",Fire Department,Boma San Francisco,Local Fire Codes,Explanation of variance between state and local fire codes.,n/a,Public Safety
11/16/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Elsbernd, Sean",Board Of Supervisors,Boma San Francisco,Prop G,Discussion on Prop G campaign results,n/a,Transportation
11/18/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Chu, Carmen",Board Of Supervisors,Boma San Francisco,Recognition Award,Recognized Carmen Chu as BOMA's Public Official of the Year for 2010,n/a,Government Administration
11/29/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Hooper, Barry","Environment, Department Of The",Boma San Francisco,Energy Audits,Reasonable timeline for compliance for building owners.,101105,Environment
10/06/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Schultheis, Barbara",Fire Department,Boma San Francisco,Local Fire Codes,Explanation of variance between state and local fire codes.,n/a,Public Safety
10/07/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Barry, Maureen",Public Utilities Commission,Boma San Francisco,Hetch Hetchy Project,Support for continuation of rebuild project,,Public Utilities
10/22/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Schultheis, Barbara",Fire Department,Boma San Francisco,Local Fire Codes,Explanation of variance between state and local fire codes.,n/a,Public Safety
10/27/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Rahaim, John","Planning, Department Of",Boma San Francisco,Planning Dept. Update,N/A,,Planning and Building Permits
09/01/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Elsbernd, Sean",Board Of Supervisors,Boma San Francisco,Muni Reform Ballot Measure,Support of the MUNI reform measure sought from BOMA.,None currently,Transportation
09/15/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Newsom, Gavin",Mayor Office Of The,Boma San Francisco,Public Safety - Emergency Planning,Updated BOMA members on city emergency plans for public safety,,Public Safety
09/17/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Elsbernd, Sean",Board Of Supervisors,Boma San Francisco,Muni Reform Ballot Measure,Support of the MUNI reform measure sought from BOMA.,None currently,Transportation
09/22/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Kornfield, Laurence",Building Inspection Department Of,Boma San Francisco,Building Codes,Regular review of current code enforcements at DBI and impacts on Commercial Real Estate,,Planning and Building Permits
09/22/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Schultheis, Barbara",Fire Department,Boma San Francisco,Local Fire Codes,Explanation of variance between state and local fire codes.,n/a,Public Safety
09/28/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Ulmer, Richard",311 Customer Service Center,Boma Sf Pac,Superior Court Judge Race,Understand Judge Ulmer's qualifications to continue as a judge in SF.,,Legal
02/03/2014,"Frattin, Daniel","Reuben, Junius & Rose, Llp","Hasz, Karl",Historic Preservation Commission,"Apple, Inc.",Apple Store,Approval,,Planning and Building Permits
09/29/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Elsbernd, Sean",Board Of Supervisors,Boma San Francisco,Muni Reform Ballot Measure,Support of the MUNI reform measure sought from BOMA.,None currently,Transportation
08/04/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Adachi, Jeff",Public Defender Office Of The,Boma San Francisco,Pension Reform,Review of city pension and benefits and need for reform of same.,n/a,City Employee Benefits
08/09/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Alioto-Pier, Michela",Board Of Supervisors,Boma Sf Pac,General Update On Bos,Discussed current issues and the upcoming election with the Supervisor.,n/a,Elections
08/12/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Schultheis, Barbara",Fire Department,Boma San Francisco,Local Fire Codes,Explanation of variance between state and local fire codes.,n/a,Public Safety
08/18/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Schultheis, Barbara",Fire Department,Boma San Francisco,Local Fire Codes,Explanation of variance between state and local fire codes.,n/a,Public Safety
08/25/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Schultheis, Barbara",Fire Department,Boma San Francisco,Local Fire Codes,Explanation of variance between state and local fire codes.,n/a,Public Safety
07/07/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Schultheis, Barbara",Fire Department,Boma San Francisco,Local Fire Codes,Explanation of variance between state and local fire codes.,n/a,Public Safety
07/07/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Ford, Nathaniel",Municipal Transportation Agency,Boma San Francisco,Boma Govt. And Public Affairs Committee,"Update on MUNI reforms, budget, and service improvements",,Transportation
07/11/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Partin, Johanna",Mayor Office Of The,Boma San Francisco,Recycling And Composting Requirements,Define responsibilites of property owners re recycling and composting.,,Environment
07/12/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Elsbernd, Sean",Board Of Supervisors,Boma San Francisco,Earthquake Bond - Soft Story Buildings,Supported legislation to authorize go bond to retrofit soft story bldgs.,,Public Safety
07/21/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Schultheis, Barbara",Fire Department,Boma San Francisco,Local Fire Codes,Explanation of variance between state and local fire codes.,n/a,Public Safety
07/22/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Young, Janine",Public Health Commission,Boma San Francisco,Smoking Ordinance,Keep no smoking ordinance extension to reasonable expectations.,091443,Environment
07/28/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Kornfield, Laurence",Building Inspection Department Of,Boma San Francisco,Building Codes,Regular review of current code enforcements at DBI and impacts on Commercial Real Estate,,Planning and Building Permits
07/28/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Schultheis, Barbara",Fire Department,Boma San Francisco,Local Fire Codes,Explanation of variance between state and local fire codes.,n/a,Public Safety
06/01/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Partin, Johanna",Mayor Office Of The,Boma San Francisco,Boma Sf Energy And Environment Committee,n/a,n/a,Environment
06/01/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Reiskin, Ed",Public Works Department Of,Boma San Francisco,Harrison Street Condition,Fix pot holes,n/a,Public Works
06/02/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Sheehan, Charles",Public Utilities Commission,Boma San Francisco,Community Choice Aggregation,Discussion of BOMA Member participation,n/a,Public Utilities
06/02/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Kornfield, Laurence",Building Inspection Department Of,Boma San Francisco,Setting Codes Seminar Dates,Set up date for codes briefing to BOMA members,n/a,Planning and Building Permits
06/02/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Partin, Johanna",Mayor Office Of The,Boma San Francisco,Boma Sf Energy And Environment Committee,n/a,n/a,Environment
06/03/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Reiskin, Ed",Public Works Department Of,Boma San Francisco,Harrison Street Condition,Fix pot holes,n/a,Public Works
06/03/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Schultheis, Barbara",Fire Department,Boma San Francisco,Setting Codes Seminar Dates,Set up date for codes briefing to BOMA members,n/a,Planning and Building Permits
06/07/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Partin, Johanna",Mayor Office Of The,Boma San Francisco,Boma Sf Energy And Environment Committee,n/a,n/a,Environment
06/08/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"True, Judson",Board Of Supervisors,Boma San Francisco,Commercial Rent Tax,Getting details on proposal,n/a,Economic Development
06/11/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Sparks, Theresa",Human Rights Commission,Boma San Francisco,Small Business Set Asides,n/a,n/a,Economic Development
06/11/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Hooper, Barry","Environment, Department Of The",Boma San Francisco,Benchmarking Ordinance,Reasonable regulation re benchmarking requirements on commercial office buildings,n/a,Environment
06/15/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Partin, Johanna",Mayor Office Of The,Boma San Francisco,Boma Sf Energy And Environment Committee,n/a,n/a,Environment
06/17/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Egan, Edmund",Controller Office Of The,Boma San Francisco,Payroll Taxes,Seeking details on payroll tax modifications proposal,n/a,Open Government
06/22/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Wagner, Greg",Mayor Office Of The,Boma San Francisco,City Budget Deficit - Tax Increases,Discussed controller's report recommending new taxes.,,Housing/Property Tax
06/22/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Partin, Johanna",Mayor Office Of The,Boma San Francisco,Boma Sf Energy And Environment Committee,n/a,n/a,Environment
06/24/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Schultheis, Barbara",Fire Department,Boma San Francisco,Local Fire Codes,Explanation of variance between state and local fire codes.,n/a,Public Safety
06/25/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Schultheis, Barbara",Fire Department,Boma San Francisco,Setting Codes Seminar Dates,Set up date for codes briefing to BOMA members,n/a,Planning and Building Permits
06/25/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Partin, Johanna",Mayor Office Of The,Boma San Francisco,Boma Sf Energy And Environment Committee,n/a,n/a,Environment
06/28/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Partin, Johanna",Mayor Office Of The,Boma San Francisco,Boma Sf Energy And Environment Committee,n/a,n/a,Environment
05/05/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Egan, Edmund",Controller Office Of The,Boma San Francisco,City Budget Deficit - Tax Increases,Discussed controller's report recommending new taxes.,,Housing/Property Tax
05/05/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Rosenfield, Ben",Controller Office Of The,Boma San Francisco,City Budget Deficit - Tax Increases,Discussed controller's report recommending new taxes.,,Housing/Property Tax
05/26/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Partin, Johanna",Mayor Office Of The,Boma San Francisco,Energy Audits,WOrking with Dept. of Environment on new ordinance requiring energy audits,,Environment
05/26/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Hooper, Barry","Environment, Department Of The",Boma San Francisco,Energy Audits,WOrking with Dept. of Environment on new ordinance requiring energy audits,,Environment
04/01/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Purkiss, Nathan",Public Utilities Commission,Boma San Francisco,"Nathan Purkiss, Sfpuc",Stormwater management ordinance acceptable to commercial owners.,,Environment
04/12/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Hooper, Barry","Environment, Department Of The",Boma San Francisco,Energy Audits,WOrking with Dept. of Environment on new ordinance requiring energy audits,,Environment
04/20/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Schultheis, Barbara",Fire Department,Boma San Francisco,Evacuation Signage Requirement,Make sign smaller and easier to use and install in buildings.,SFFD Admin Bulletin 2.11,Public Safety
04/26/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Kornfield, Laurence",Building Inspection Department Of,Boma San Francisco,Building Codes,Regular review of current code enforcements at DBI and impacts on Commercial Real Estate,,Planning and Building Permits
04/26/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Ting, Phil",Assessor-Recorder Office Of The,Boma San Francisco,Property Tax And Transfer Tax Information,Seeking information only,,Open Government
04/26/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Schultheis, Barbara",Fire Department,Boma San Francisco,Evacuation Signage Requirement,Make sign smaller and easier to use and install in buildings.,SFFD Admin Bulletin 2.11,Public Safety
04/26/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Rosenfield, Ben",Controller Office Of The,Boma San Francisco,Property Tax And Transfer Tax Information,Seeking information only,,Open Government
01/06/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Garcia, Carlos",Unified School District San Francisco,Boma San Francisco,School Board Policies,Create initial relationship with SFUSD Superintendent.,None,Education
01/14/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Dufty, Bevan",Board Of Supervisors,Boma San Francisco,Lighting Efficiency Ordinance,Practical approach to upgrading lighting in buildings.,090584,Environment
01/27/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Kornfield, Laurence",Building Inspection Department Of,Boma San Francisco,Destination Elevators,Wanted a reasonable regulation governing accessible requirements for elevator controls.,AB - 090,Accessibility
02/10/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Schultheis, Barbara",Fire Department,Boma San Francisco,Evacuation Signage Requirement,Make sign smaller and easier to use and install in buildings.,SFFD Admin Bulletin 2.11,Public Safety
02/12/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Mar, Eric",Board Of Supervisors,Boma San Francisco,Smoking Ordinance,Keep no smoking ordinance extension to reasonable expectations.,091443,Environment
02/12/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Sparks, Theresa",Human Rights Commission,Boma San Francisco,City Contracting Policies,Understand city contracting policies and minority set-aside requirements.,None,Human Rights
02/15/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Mar, Eric",Board Of Supervisors,Boma San Francisco,Smoking Ordinance,Keep no smoking ordinance extension to reasonable expectations.,091443,Environment
02/16/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Mar, Eric",Board Of Supervisors,Boma San Francisco,Smoking Ordinance,Keep no smoking ordinance extension to reasonable expectations.,091443,Environment
02/17/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Schultheis, Barbara",Fire Department,Boma San Francisco,Evacuation Signage Requirement,Make sign smaller and easier to use and install in buildings.,SFFD Admin Bulletin 2.11,Public Safety
02/25/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Kornfield, Laurence",Building Inspection Department Of,Boma San Francisco,Destination Elevators,Wanted a reasonable regulation governing accessible requirements for elevator controls.,AB - 090,Accessibility
02/25/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Chien, Rich","Environment, Department Of The",Boma San Francisco,Green Financing,Sought input on regulations governing application for city green financing program.,None currently,Environment
03/19/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Minick, Sarah",Public Utilities Commission,Boma San Francisco,Stormwater Management Ordinance,Keep new stormwater mgmt regulations reasonable to property owners.,100102,Environment
03/19/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Ting, Phil",Assessor-Recorder Office Of The,Boma San Francisco,Property Taxation - Split Roll,Educate Ting on the impracticality of re-assessing buildings when majority stock turns over.,None,Housing/Property Tax
03/23/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Elsbernd, Sean",Board Of Supervisors,Boma San Francisco,Muni Reform Ballot Measure,Support of the MUNI reform measure sought from BOMA.,None currently,Transportation
03/24/2010,"Cleaveland, Ken",Building Owners And Managers Association Of San Francisco,"Kornfield, Laurence",Building Inspection Department Of,Boma San Francisco,Destination Elevators,Wanted a reasonable regulation governing accessible requirements for elevator controls.,AB - 090,Accessibility
08/05/2014,"Clemens, Alex",Barbary Coast Consulting,"Ginsburg, Phil",Recreation And Parks Department,The Gales Group,Informational Meeting,Provide update and seek information on car2g0 plans for San Francisco,,Transportation
06/02/2014,"Clemens, Alex",Barbary Coast Consulting,"Avalos, John",Board Of Supervisors,Umpqua Bank,Informational Meeting,Provide update and seek information on car2g0 plans for San Francisco,,Transportation
04/15/2014,"Clemens, Alex",Barbary Coast Consulting,"Lee, Olsen",Mayor's Office On Housing,"Paramount Group, Inc.",75 Howard,Provide information on the proposed development at 75 Howard and the associated affordable housing,,Housing/Property Tax
01/29/2013,"Hantman, David",Airbnb,"Chiu, David",Board Of Supervisors,Airbnb Inc.,Sharable Housing Legislation,Monitor,,Housing/Property Tax
11/02/2015,"Tourk, Alex",Ground Floor Public Affairs,"Farrell, Mark",Board Of Supervisors,"Salesforce.com, Inc",Permitting And Remodeling,Interim signage control,,Planning and Building Permits
11/03/2015,"Tourk, Alex",Ground Floor Public Affairs,"Lee, Ivy",Board Of Supervisors,Bay Club,Recreation Development,Invest funds in parks,,Recreation and Parks
11/23/2015,"Tourk, Alex",Ground Floor Public Affairs,"Cohen, Malia",Board Of Supervisors,Sf Police Officers Association,Community Relations,Community relations improvement,,Public Safety
03/06/2014,"Clemens, Alex",Barbary Coast Consulting,"Kim, Jane",Board Of Supervisors,"Paramount Group, Inc.",75 Howard,Provide information on the proposed development at 75 Howard and the associated affordable housing,,Housing/Property Tax
03/07/2014,"Clemens, Alex",Barbary Coast Consulting,"Kim, Jane",Board Of Supervisors,"Paramount Group, Inc.",75 Howard,Provide information on the proposed development at 75 Howard and the associated affordable housing,,Housing/Property Tax
03/25/2014,"Clemens, Alex",Barbary Coast Consulting,"Kawa, Steve",Mayor Office Of The,"Paramount Group, Inc.",75 Howard,Provide information on the proposed development at 75 Howard and the associated affordable housing,,Housing/Property Tax
02/04/2014,"Clemens, Alex",Barbary Coast Consulting,"Ginsburg, Phil",Recreation And Parks Department,Fitmob,Background On The Fitmob Business,To provide information about a new fitness service and how its relationship with parks,,Economic Development
02/18/2014,"Clemens, Alex",Barbary Coast Consulting,"Rich, Ken",Mayor Office Of The,Safeway,General Background On Safeway In San Francisco,General background information about Safeway in San Francisco,,Economic Development
02/24/2014,"Clemens, Alex",Barbary Coast Consulting,"Lee, Olsen",Mayor's Office On Housing,"Paramount Group, Inc.",Advise About Status Of 75 Howard,Advise about status of 75 Howard,,Planning and Building Permits
02/25/2014,"Clemens, Alex",Barbary Coast Consulting,"Kim, Jane",Board Of Supervisors,"Paramount Group, Inc.",75 Howard,Discussion on project,,Housing/Property Tax
11/07/2013,"Clemens, Alex",Barbary Coast Consulting,"Wiener, Scott",Board Of Supervisors,Jewish Home,Informational Discussion,Inquire about legislative initiative and inform the Supervisor about activities at the Jewish Home,,Planning and Building Permits
10/15/2013,"Clemens, Alex",Barbary Coast Consulting,"Wiener, Scott",Board Of Supervisors,Sf Spca,Discussion On Animal Welfare,Discussing ways to improve animal services in San Francisco,,Animal Welfare
10/25/2013,"Clemens, Alex",Barbary Coast Consulting,"Watty, Liz","Planning, Department Of","California Mortgage And Realty, Inc.",1540 Market Street,To schedule a meeting to discuss issues surrounding a proposed development in the Market Octavia Plan Area.,N/A,Planning and Building Permits
09/06/2013,"Clemens, Alex",Barbary Coast Consulting,"Wu, Cindy",Planning Commission,"Paramount Group, Inc.",Informational Discussion,Share information and answer questions about Safeway stores in San Francisco,,Economic Development
09/10/2013,"Clemens, Alex",Barbary Coast Consulting,"Antonini, Michael",Planning Commission,"Paramount Group, Inc.",Informational Discussion,Share information and answer questions about Safeway stores in San Francisco,,Economic Development
09/11/2013,"Clemens, Alex",Barbary Coast Consulting,"Hillis, Rich",Planning Commission,"Paramount Group, Inc.",Informational Discussion,Share information and answer questions about Safeway stores in San Francisco,,Economic Development
09/11/2013,"Clemens, Alex",Barbary Coast Consulting,"Nuru, Mohammad",Public Works Department Of,"Paramount Group, Inc.",Informational Discussion,Share information and answer questions about Safeway stores in San Francisco,,Economic Development
12/10/2015,"Rossi, Jaime",Barbary Coast Consulting,"Avalos, John",Board Of Supervisors,Lick-Wilmerding High School,Lick-Wilmerding Informational,Lick-Wilmerding expansion,,Economic Development
12/18/2015,"Guehring, Ross",Barbary Coast Consulting,"Dennis-Phillips, Sarah","Economic And Workforce Development, Office Of",Axis Development Group,Axis - Informational,Axis - informational,,Economic Development
12/18/2015,"Guehring, Ross",Barbary Coast Consulting,"Rich, Ken","Economic And Workforce Development, Office Of",Axis Development Group,Axis - Informational,Axis - informational,,Economic Development
12/07/2015,"Kurrie, Jennifer",Walgreen Co.,"Johnson, Maggie","Environment, Department Of The",Walgreen Co.,Medication Take Back,Monitor,,Government Administration
12/03/2015,"Clemens, Alex",Barbary Coast Consulting,"Yee, Norman",Board Of Supervisors,Motivate,Informational Motivate,inform about plans for expansion of the city's bicycle network,,Transportation
12/03/2015,"Clemens, Alex",Barbary Coast Consulting,"Christensen, Julie",Board Of Supervisors,Motivate,Informational Motivate,inform about plans for expansion of the city's bicycle network,,Transportation
12/03/2015,"Clemens, Alex",Barbary Coast Consulting,"Breed, London",Board Of Supervisors,Motivate,Informational Motivate,inform about plans for expansion of the city's bicycle network,,Transportation
12/10/2015,"Clemens, Alex",Barbary Coast Consulting,"Rich, Ken","Economic And Workforce Development, Office Of","Paramount Group, Inc.",Informational Paramount,Informational only,,Planning and Building Permits
12/03/2015,"Brooks, Alex","Csp Securities, Lp","Schwartz, Glen",Retirement Board San Francisco Employees,Vance Street,"Vance Street Capital Ii, L.p.",Fund Raise,,Technology
12/03/2015,"Brooks, Alex","Csp Securities, Lp","Schwartz, Glen",Retirement Board San Francisco Employees,Vance Street,"Vance Street Capital Ii, L.p.",Fund Raise,,Technology
09/26/2013,"Clemens, Alex",Barbary Coast Consulting,"Kelly, Naomi",City Administrator,Sf Spca,Discussion On Animal Welfare,Discussing ways to improve animal services in San Francisco,,Animal Welfare
09/30/2013,"Clemens, Alex",Barbary Coast Consulting,"Avalos, John",Board Of Supervisors,Safeway,Informational Discussion,Share information and answer questions about Safeway stores in San Francisco,,Economic Development
08/01/2013,"Clemens, Alex",Barbary Coast Consulting,"Pollack, Jeremy",Board Of Supervisors,Safeway,Informational Discussion,Information request about legislation surrounding liquor licenses,,Economic Development
08/08/2013,"Clemens, Alex",Barbary Coast Consulting,"Kim, Jane",Board Of Supervisors,"Paramount Group, Inc.",Information Discussion,Update them on issues affecting the SF SPCA and proposals by that non-profit,,Animal Welfare
08/09/2013,"Clemens, Alex",Barbary Coast Consulting,"Falvey, Captain Timothy",Police Department,Safeway,Informational Discussion,Information request about legislation surrounding liquor licenses,,Economic Development
08/12/2013,"Clemens, Alex",Barbary Coast Consulting,"Falvey, Captain Timothy",Police Department,Safeway,Informational Discussion,Information request about legislation surrounding liquor licenses,,Economic Development
08/15/2013,"Clemens, Alex",Barbary Coast Consulting,"Pollack, Jeremy",Board Of Supervisors,Safeway,Informational Discussion,Information request about legislation surrounding liquor licenses,,Economic Development
08/20/2013,"Clemens, Alex",Barbary Coast Consulting,"Sweiss, Fuad",Public Works Department Of,"Paramount Group, Inc.",Information Discussion,Update them on issues affecting the SF SPCA and proposals by that non-profit,,Animal Welfare
08/20/2013,"Clemens, Alex",Barbary Coast Consulting,"Rich, Ken",Mayor Office Of The,"Paramount Group, Inc.",Information Discussion,Update them on issues affecting the SF SPCA and proposals by that non-profit,,Animal Welfare
08/20/2013,"Clemens, Alex",Barbary Coast Consulting,"Gordon, Rachel",Public Works Department Of,"Paramount Group, Inc.",Information Discussion,Update them on issues affecting the SF SPCA and proposals by that non-profit,,Animal Welfare
08/28/2013,"Clemens, Alex",Barbary Coast Consulting,"Farrell, Mark",Board Of Supervisors,Sf Spca,Information Discussion,Update them on issues affecting the SF SPCA and proposals by that non-profit,,Animal Welfare
08/28/2013,"Clemens, Alex",Barbary Coast Consulting,"Barnes, Bill",City Administrator,Sf Spca,Information Discussion,Update them on issues affecting the SF SPCA and proposals by that non-profit,,Animal Welfare
07/12/2013,"Clemens, Alex",Barbary Coast Consulting,"Hayward, Sophie","Planning, Department Of",Safeway,Informational Discussion,"Discuss potential amendments to land use laws that might affect Safeway Stores, Inc.",130459,Planning and Building Permits
07/12/2013,"Clemens, Alex",Barbary Coast Consulting,"Hayward, Sophie","Planning, Department Of",Safeway,Informational Discussion,"Discuss potential amendments to land use laws that might affect Safeway Stores, Inc.",130459,Planning and Building Permits
07/12/2013,"Clemens, Alex",Barbary Coast Consulting,"Powers, Andres",Board Of Supervisors,Safeway,Informational Meeting,Provide update and seek information on car2g0 plans for San Francisco,,Transportation
07/12/2013,"Clemens, Alex",Barbary Coast Consulting,"Powers, Andres",Board Of Supervisors,Safeway,Informational Meeting,Provide update and seek information on car2g0 plans for San Francisco,,Transportation
07/15/2013,"Clemens, Alex",Barbary Coast Consulting,"Hayward, Sophie","Planning, Department Of",Safeway,Informational Discussion,"Discuss potential amendments to land use laws that might affect Safeway Stores, Inc.",130459,Planning and Building Permits
07/15/2013,"Clemens, Alex",Barbary Coast Consulting,"Powers, Andres",Board Of Supervisors,Safeway,Informational Meeting,Provide update and seek information on car2g0 plans for San Francisco,,Transportation
07/16/2013,"Clemens, Alex",Barbary Coast Consulting,"Hayward, Sophie","Planning, Department Of",Safeway,Informational Discussion,"Discuss potential amendments to land use laws that might affect Safeway Stores, Inc.",130459,Planning and Building Permits
