Date,Lobbyist,Lobbyist_Firm,Amount,Lobbyist_Client
05/31/2015,"Lollie, Marcus",Credit Suisse Securities (Usa) Llc,$445.81,Credit Suisse Securities (Usa) Llc
05/12/2015,"Reuben, James","Reuben, Junius & Rose, Llp",$1950.00,Nixon Peabody Llp
05/27/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp",$60.00,"Align Otis, Llc"
05/31/2015,"Rossi, Jaime",Barbary Coast Consulting,$330.00,Claudia Volpi
05/01/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp",$300.00,Golub Real Estate Corp.
05/31/2015,"Vettel, Steve",Farella Braun And Martel,$760.00,Nick Podell Company
05/31/2015,"Vettel, Steve",Farella Braun And Martel,$760.00,Nick Podell Company
05/31/2015,"Vettel, Steve",Farella Braun And Martel,$760.00,Nick Podell Company
05/05/2015,"Reuben, James","Reuben, Junius & Rose, Llp",$390.00,Altschool
11/30/2015,"Tourk, Alex",Ground Floor Public Affairs,$3187.50,Caltrain
05/31/2015,"Prozan, Rebecca","Google, Inc.",$1000.00,Google Inc.
05/15/2015,"Reuben, James","Reuben, Junius & Rose, Llp",$650.00,"Rabin, Daniel"
05/31/2015,"Vettel, Steve",Farella Braun And Martel,$760.00,Genesis Ca Development
05/07/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp",$420.00,Realtex Condominiums Llc
05/13/2015,"Reuben, James","Reuben, Junius & Rose, Llp",$195.00,Trinity Properties
05/13/2015,"Reuben, James","Reuben, Junius & Rose, Llp",$130.00,Altschool
05/11/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp",$240.00,Golub Real Estate Corp.
05/21/2015,"Reuben, James","Reuben, Junius & Rose, Llp",$325.00,Altschool
05/14/2015,"Reuben, James","Reuben, Junius & Rose, Llp",$1257.00,Gemdale Usa Corporation
05/31/2015,"Vettel, Steve",Farella Braun And Martel,$760.00,The Toboni Group
05/31/2015,"Vettel, Steve",Farella Braun And Martel,$760.00,The Toboni Group
05/12/2015,"Reuben, James","Reuben, Junius & Rose, Llp",$65.00,"Dolby Laboratories, Inc."
05/01/2015,"Ross, James",James Ross,$10500.00,Gap Inc.
05/07/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp",$180.00,Golub Real Estate Corp.
05/20/2015,"Reuben, James","Reuben, Junius & Rose, Llp",$325.00,"Hhr Powell Street, L.p."
05/08/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp",$60.00,Tidewater Capital
05/06/2015,"Reuben, James","Reuben, Junius & Rose, Llp",$390.00,"Dolby Laboratories, Inc."
05/31/2015,"Vettel, Steve",Farella Braun And Martel,$190.00,Hines
05/31/2015,"Vettel, Steve",Farella Braun And Martel,$380.00,The Toboni Group
05/27/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp",$180.00,Golub Real Estate Corp.
05/15/2015,"Reuben, James","Reuben, Junius & Rose, Llp",$195.00,Altschool
05/29/2015,"Owen, David",Airbnb,$126.20,Airbnb
05/11/2015,"Reuben, James","Reuben, Junius & Rose, Llp",$130.00,"Dolby Laboratories, Inc."
05/04/2015,"Reuben, James","Reuben, Junius & Rose, Llp",$1300.00,George  Mcnabb
05/15/2015,"Reuben, James","Reuben, Junius & Rose, Llp",$1350.00,"Rabin, Daniel"
05/31/2015,"Vettel, Steve",Farella Braun And Martel,$1140.00,Nick Podell Company
05/20/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$75.00,Grosvenor Americas
05/15/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$75.00,Grosvenor Americas
05/01/2015,"Silverman, David","Reuben, Junius & Rose, Llp",$135.00,Towne Park
05/05/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$150.00,Standard 5-10-25 Cent Store Llc
05/13/2015,"Kevlin, John","Reuben, Junius & Rose, Llp",$100.00,Vladimir Chernyavski
05/15/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$150.00,Grosvenor Americas
05/07/2015,"Kevlin, John","Reuben, Junius & Rose, Llp",$850.00,"Dkr Partners, Lp"
05/31/2015,"Turner, Brook",Coalition For Better Housing,$1000.00,Presidio Bay Ventures
05/31/2015,"Turner, Brook",Coalition For Better Housing,$1500.00,Dkr Partners
05/19/2015,"Tunny, Thomas","Reuben, Junius & Rose, Llp",$80.00,Charles Desmarais
05/14/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$112.50,Standard 5-10-25 Cent Store Llc
05/31/2015,"Turner, Brook",Coalition For Better Housing,$1500.00,Veritas Real Estate
05/01/2015,"Silverman, David","Reuben, Junius & Rose, Llp",$225.00,"M. Gaehwiler Construction, Inc."
05/04/2015,"Tunny, Thomas","Reuben, Junius & Rose, Llp",$560.00,Boston Properties
05/07/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$300.00,Standard 5-10-25 Cent Store Llc
05/18/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$112.50,Trust For Children Of Henry Wong
05/13/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$300.00,Grosvenor Americas
05/20/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$75.00,Dennis Ring
05/04/2015,"Tunny, Thomas","Reuben, Junius & Rose, Llp",$80.00,"Civitas Equity Fund 1, Llc"
05/13/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$225.00,"Mt Ventures, Llc"
05/31/2015,"Turner, Brook",Coalition For Better Housing,$7500.00,Coalition For Better Housing
05/04/2015,"Tunny, Thomas","Reuben, Junius & Rose, Llp",$120.00,Hines Corporation
05/13/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$300.00,"150 Grand View, Llc"
05/07/2015,"Kevlin, John","Reuben, Junius & Rose, Llp",$150.00,Anthony Chan
05/28/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$150.00,Standard 5-10-25 Cent Store Llc
05/12/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$1162.50,Nixon Peabody Llp
05/31/2015,"Turner, Brook",Coalition For Better Housing,$3500.00,Maximus Realty Partners
05/04/2015,"Tunny, Thomas","Reuben, Junius & Rose, Llp",$120.00,Aimee And Steve West
05/04/2015,"Tunny, Thomas","Reuben, Junius & Rose, Llp",$200.00,Larry Rabkin
05/31/2015,"Turner, Brook",Coalition For Better Housing,$1500.00,Thompson Dorfman
05/01/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$37.50,Standard 5-10-25 Cent Store Llc
05/01/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$712.50,Grosvenor Americas
05/06/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$225.00,Trust For Children Of Henry Wong
05/31/2015,"Loeven, Lewis",Self,$6000.00,"Extenet Systems, Inc.,"
05/01/2015,"Yaki, Michael",Michael Yaki,$2000.00,Barneys New York
05/31/2015,"Smith, Ontario",Pacific Gas And Electric Company,$2000.00,Pacific Gas And Electric Company
05/31/2015,"Gruwell, Chris",Platinum Advisors,$0.00,Koret Family House
05/31/2015,"Gruwell, Chris",Platinum Advisors,$0.00,"Wine & Spirits Wholesalers Of California, Inc."
05/31/2015,"Gruwell, Chris",Platinum Advisors,$2500.00,Recology
05/06/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$100.00,Mindful Investments Lp
05/31/2015,"Peterson, Rich",Goodyear Peterson Hayward & Associates,$4500.00,San Francisco Bar Pilots
05/01/2015,"Smolens, H. Marcia",Hms Associates,$7500.00,Dfs Group Limited
05/31/2015,"Gruwell, Chris",Platinum Advisors,$3000.00,Ufcw Western States Superfund
05/01/2015,"Lapointe, Denise",Lapointe And Associates,$5000.00,Lennar Communities
05/31/2015,"Gruwell, Chris",Platinum Advisors,$0.00,Sparc
05/31/2015,"Gruwell, Chris",Platinum Advisors,$2000.00,Lennar Residential
05/14/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$50.00,Gemdale Usa Corporation
05/31/2015,"Gruwell, Chris",Platinum Advisors,$2500.00,Supershuttle
05/31/2015,"Gruwell, Chris",Platinum Advisors,$3800.00,Accela
05/20/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$100.00,Mindful Investments Lp
05/20/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$100.00,Mindful Investments Lp
05/31/2015,"Peterson, Rich",Goodyear Peterson Hayward & Associates,$5000.00,Facebook
05/31/2015,"Gruwell, Chris",Platinum Advisors,$0.00,Beer Institute
05/31/2015,"Peterson, Rich",Goodyear Peterson Hayward & Associates,$7500.00,"Presidio Bay Ventures, Llc"
05/12/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$750.00,Nixon Peabody Llp
05/31/2015,"Gruwell, Chris",Platinum Advisors,$2500.00,Sfo Shuttle Bus
05/31/2015,"Gruwell, Chris",Platinum Advisors,$0.00,Foster Interstate Media Inc.
05/31/2015,"Peterson, Rich",Goodyear Peterson Hayward & Associates,$10000.00,Uber Technologies
05/31/2015,"Gladstone, Brett",Hanson Bridgett Llp,$13114.50,"Rhmt, Llc"
05/31/2015,"Gruwell, Chris",Platinum Advisors,$0.00,Oceana
05/31/2015,"Peterson, Rich",Goodyear Peterson Hayward & Associates,$3500.00,Presidio Knolls School
05/21/2015,"Berg, Jessica",Bergdavis Public Affairs,$325.00,Group I
05/28/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$150.00,Gemdale Usa Corporation
05/01/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$250.00,Nixon Peabody Llp
05/31/2015,"Peterson, Rich",Goodyear Peterson Hayward & Associates,$10000.00,Veritas Investments Inc
05/07/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$100.00,Mindful Investments Lp
05/07/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$100.00,Mindful Investments Lp
05/31/2015,"Peterson, Rich",Goodyear Peterson Hayward & Associates,$4000.00,Strada Investment Group
05/31/2015,"Gruwell, Chris",Platinum Advisors,$0.00,San Francisco Fire Fighters Local 798
05/31/2015,"Peterson, Rich",Goodyear Peterson Hayward & Associates,$10000.00,Au Energy
05/31/2015,"Gruwell, Chris",Platinum Advisors,$5500.00,Golden State Warriors
05/03/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$125.00,Nixon Peabody Llp
05/31/2015,"Gruwell, Chris",Platinum Advisors,$4250.00,Clear Channel Outdoor
05/01/2015,"Smolens, H. Marcia",Hms Associates,$15000.00,Millennium Partners
05/31/2015,"Gruwell, Chris",Platinum Advisors,$0.00,1140 Folsom Llc
05/31/2015,"Gregg, Andrew",Self,$1000.00,Joe Harney
05/31/2015,"Gruwell, Chris",Platinum Advisors,$5000.00,"Restoration Hardware, Inc."
05/18/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$150.00,Gemdale Usa Corporation
05/31/2015,"New, Janan",Sfaa,$1000.00,Presidio Bay Ventures
05/31/2015,"Gregg, Andrew",Self,$1000.00,Claire A. Spencer
05/12/2015,"Davis, Evette",Bergdavis Public Affairs,$325.00,Nick Podell
05/06/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$150.00,Nixon Peabody Llp
05/01/2015,"Smolens, H. Marcia",Hms Associates,$7000.00,"Comcast Cable Communications, Inc."
05/31/2015,"Gruwell, Chris",Platinum Advisors,$2000.00,Black & Veatch
05/31/2015,"New, Janan",Sfaa,$3500.00,Maximus Realty Partners
05/06/2015,"Davis, Evette",Bergdavis Public Affairs,$175.00,Nick Podell
05/31/2015,"Gruwell, Chris",Platinum Advisors,$2500.00,"Becker Boards Small, Llc"
05/19/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$50.00,"10 South Shore, Llc"
05/31/2015,"Gruwell, Chris",Platinum Advisors,$2500.00,Mark Cavagnero Associates
05/31/2015,"Gruwell, Chris",Platinum Advisors,$0.00,United Service Workers West
05/01/2015,"Lapointe, Denise",Lapointe And Associates,$10000.00,Lennar Urban
05/20/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$50.00,Mindful Investments Lp
05/31/2015,"Gruwell, Chris",Platinum Advisors,$0.00,Distilled Spirits Council Of The Us
05/31/2015,"Wallace, Jay","Tzk Broadway, Llc",$0.00,"Tzk Broadway, Llc"
05/31/2015,"Peterson, Rich",Goodyear Peterson Hayward & Associates,$7500.00,Meyer Capital Partners
05/07/2015,"Davis, Evette",Bergdavis Public Affairs,$325.00,Nick Podell
05/31/2015,"Gruwell, Chris",Platinum Advisors,$0.00,Tobacco Free Kids Action Fund
05/31/2015,"Gruwell, Chris",Platinum Advisors,$8000.00,Tishman Speyer
05/05/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$150.00,Budda Properties Llc
05/01/2015,"Smolens, H. Marcia",Hms Associates,$6000.00,Pier 39
05/01/2015,"Smolens, H. Marcia",Hms Associates,$12500.00,Sf Waterfront Partners
05/31/2015,"Gruwell, Chris",Platinum Advisors,$12500.00,Airbnb
05/05/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$100.00,Budda Properties Llc
05/31/2015,"Gruwell, Chris",Platinum Advisors,$7500.00,Trumark Commerical
05/15/2015,"Davis, Evette",Bergdavis Public Affairs,$488.00,Nick Podell
05/01/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$200.00,Sixteenth  Street Center Llc
05/01/2015,"Smolens, H. Marcia",Hms Associates,$7500.00,"Alexandria Real Estate Equities, Inc."
05/31/2015,"Gruwell, Chris",Platinum Advisors,$2500.00,Alta Vista School
05/31/2015,"Lazarus, Jim",San Francisco Chamber Of Commerce,$625.00,San Francisco Chamber Of Commerce
05/31/2015,"New, Janan",Sfaa,$7500.00,Sfaa
05/01/2015,"Lapointe, Denise",Lapointe And Associates,$1500.00,Protect Our Benefits
05/31/2015,"Gruwell, Chris",Platinum Advisors,$5000.00,Shorenstein
05/31/2015,"Gruwell, Chris",Platinum Advisors,$0.00,Board Of Directors Of San Francisco Zoological Society
05/31/2015,"Gruwell, Chris",Platinum Advisors,$5000.00,Microsoft Corporation
05/31/2015,"Gruwell, Chris",Platinum Advisors,$1000.00,Shn
05/31/2015,"Gruwell, Chris",Platinum Advisors,$0.00,"New Gadget, Inc."
05/31/2015,"Linscheid, Bob",San Francisco Chamber Of Commerce,$0.00,San Francisco Chamber Of Commerce
05/31/2015,"Gruwell, Chris",Platinum Advisors,$0.00,Zynga
05/31/2015,"Carroll, Kevin",Hotel Council Of San Francisco,$0.00,San Francisco Hotel Council
05/14/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$750.00,Gemdale Usa Corporation
05/31/2015,"Gruwell, Chris",Platinum Advisors,$0.00,Cb&i
05/31/2015,"Gruwell, Chris",Platinum Advisors,$0.00,Hearst Corporation
05/31/2015,"Kiyota, Travis",Pacific Gas And Electric Company,$208.33,Pacific Gas And Electric Company
05/31/2015,"Cheng, Jay",San Francisco Association Of Realtors,$600.00,San Francisco Association Of Realtors
05/31/2015,"Peterson, Rich",Goodyear Peterson Hayward & Associates,$7500.00,Nick Podell Co.
05/31/2015,"Gruwell, Chris",Platinum Advisors,$0.00,One Kings Lane
05/31/2015,"Gruwell, Chris",Platinum Advisors,$2500.00,Blue Bottle Coffee
05/31/2015,"Gruwell, Chris",Platinum Advisors,$3500.00,Brown And Caldwell
05/31/2015,"Gruwell, Chris",Platinum Advisors,$2500.00,Fairmont Hotel & Resort
05/31/2015,"Gruwell, Chris",Platinum Advisors,$2500.00,Auto Return
05/31/2015,"Gruwell, Chris",Platinum Advisors,$0.00,California Beer & Beverage Distributors Association
05/26/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$50.00,Kilroy Realty Corporation
05/31/2015,"Peterson, Rich",Goodyear Peterson Hayward & Associates,$2500.00,"Hudson Pacific Properties, Inc."
05/31/2015,"Gruwell, Chris",Platinum Advisors,$7500.00,Beumer Corporation
05/05/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$100.00,Mindful Investments Lp
05/01/2015,"Smolens, H. Marcia",Hms Associates,$7500.00,Genentech
05/05/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$200.00,Gemdale Usa Corporation
05/31/2015,"Gruwell, Chris",Platinum Advisors,$5000.00,Crescent Heights
05/31/2015,"Gruwell, Chris",Platinum Advisors,$8500.00,Boston Properties Limited Partnership
05/05/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$100.00,Sixteenth  Street Center Llc
05/01/2015,"Smolens, H. Marcia",Hms Associates,$12000.00,"Xerox Business Services, Llc And Its Affiliates"
05/31/2015,"Workman, Dee Dee",San Francisco Chamber Of Commerce,$228.00,San Francisco Chamber Of Commerce
05/31/2015,"Gruwell, Chris",Platinum Advisors,$8500.00,Webcor Builders
05/26/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$50.00,"The Prado Group, Inc."
05/31/2015,"Gladstone, Brett",Hanson Bridgett Llp,$208.00,Wsh Productions Llc
05/31/2015,"Peterson, Rich",Goodyear Peterson Hayward & Associates,$2000.00,Royal Motors Of San Francisco
05/31/2015,"Lindert, Noemi","Cisco Systems, Inc.",$1500.00,"Cisco Systems, Inc."
05/31/2015,"Peterson, Rich",Goodyear Peterson Hayward & Associates,$15000.00,Target Corporation
05/31/2015,"Peterson, Rich",Goodyear Peterson Hayward & Associates,$8500.00,Luxe Valet
05/31/2015,"Gruwell, Chris",Platinum Advisors,$4000.00,7x7 Development
05/31/2015,"Gruwell, Chris",Platinum Advisors,$5000.00,University Of San Francisco
05/31/2015,"New, Janan",Sfaa,$1500.00,Thompson Dorfman
05/31/2015,"Jung, Mary",San Francisco Association Of Realtors,$520.84,San Francisco Association Of Realtors
05/31/2015,"Gruwell, Chris",Platinum Advisors,$0.00,Salesforce.com Inc.
05/31/2015,"Wright, Christopher",Committee On Jobs,$224.00,Committee On Jobs
05/31/2015,"Peterson, Rich",Goodyear Peterson Hayward & Associates,$10000.00,Grocery Outlet
05/31/2015,"Hernandez, Brandon",Pacific Gas And Electric Company,$3013.00,Pacific Gas And Electric Company
05/31/2015,"Gruwell, Chris",Platinum Advisors,$0.00,Wine Institute
05/31/2015,"Jordan, Taylor",Barbary Coast Consulting,$875.00,San Francisco Massage Ordinance Advisory Committee
05/15/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$450.00,Mindful Investments Lp
05/05/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$150.00,Sixteenth  Street Center Llc
05/06/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$600.00,"The Prado Group, Inc."
05/31/2015,"New, Janan",Sfaa,$1500.00,Veritas Real Estate Investment
05/26/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$50.00,Gemdale Usa Corporation
05/31/2015,"Peterson, Rich",Goodyear Peterson Hayward & Associates,$0.00,Leport Schools
05/31/2015,"Peterson, Rich",Goodyear Peterson Hayward & Associates,$5000.00,"Ch2m Hill, Inc."
05/12/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$50.00,Mindful Investments Lp
05/31/2015,"Gruwell, Chris",Platinum Advisors,$0.00,Bay West Development
05/31/2015,"Gruwell, Chris",Platinum Advisors,$0.00,Stanley Steamer
05/27/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$500.00,Budda Properties Llc
05/31/2015,"Peterson, Rich",Goodyear Peterson Hayward & Associates,$5000.00,California Pacific Medical Center
05/31/2015,"Peterson, Rich",Goodyear Peterson Hayward & Associates,$11625.00,At&t California
05/31/2015,"Gruwell, Chris",Platinum Advisors,$5000.00,Teamsters Local 853
05/19/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$50.00,Enda Keane\denis Mcmahon
05/01/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$200.00,Budda Properties Llc
05/01/2015,"Lapointe, Denise",Lapointe And Associates,$7500.00,Forest City Enterprises
05/26/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$100.00,"10 South Shore, Llc"
05/31/2015,"Gruwell, Chris",Platinum Advisors,$15000.00,Aecom
05/31/2015,"Peterson, Rich",Goodyear Peterson Hayward & Associates,$4500.00,The Hamlin School
05/31/2015,"New, Janan",Sfaa,$1500.00,Mosser Capital Corporation
05/31/2015,"Peterson, Rich",Goodyear Peterson Hayward & Associates,$10000.00,Market Street Place
05/05/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$150.00,Mindful Investments Lp
05/01/2015,"Smolens, H. Marcia",Hms Associates,$15000.00,Forest City
05/31/2015,"Peterson, Rich",Goodyear Peterson Hayward & Associates,$3000.00,Red & White Fleet
05/31/2015,"Peterson, Rich",Goodyear Peterson Hayward & Associates,$4500.00,Hearst Corporation
05/31/2015,"Gruwell, Chris",Platinum Advisors,$3000.00,Zipcar
05/31/2015,"Adams, Scott",Comcast Corporation,$57.69,Comcast Corporation
05/01/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$200.00,Mindful Investments Lp
05/31/2015,"Gruwell, Chris",Platinum Advisors,$2500.00,Golub
05/31/2015,"Peterson, Rich",Goodyear Peterson Hayward & Associates,$13000.00,Integral Development Llc
05/18/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$50.00,Mindful Investments Lp
05/31/2015,"Polacci, Bert",Public Advocacy Partners,$3500.00,Parkmerced Investors Llc
05/31/2015,"Polacci, Bert",Public Advocacy Partners,$1500.00,Veritas Real Estate
05/31/2015,"Polacci, Bert",Public Advocacy Partners,$1500.00,Thompson Dorfman
05/31/2015,"Biss, Matt","Tishman Speyer Properties, L.p.",$218.00,"Tishman Speyer Properties, L.p."
05/31/2015,"Polacci, Bert",Public Advocacy Partners,$3500.00,Maximus Real Estate Partners
05/01/2015,"Daniller-Katz, Gia",Daniller Consulting Inc.,$6000.00,Jfcs
05/31/2015,"Polacci, Bert",Public Advocacy Partners,$1000.00,Presidio Bay Ventures
05/31/2015,"Shannon, Carl","Tishman Speyer Properties, L.p.",$910.00,"Tishman Speyer Properties, L.p."
05/31/2015,"Polacci, Bert",Public Advocacy Partners,$1500.00,Moesser Capital Corporation
05/31/2015,"Polacci, Bert",Public Advocacy Partners,$1500.00,Dkr Partners
02/28/2015,"Jung, Mary",San Francisco Association Of Realtors,$521.00,San Francisco Association Of Realtors
06/02/2015,"Cassolato, Stefano",Sgc Strategic Communications,$850.00,Seniore's Pizza
06/23/2015,"Cassolato, Stefano",Sgc Strategic Communications,$2500.00,Aids Healthcare Foundation
06/12/2015,"Newman, John",John Newman,$12500.00,New South Parking
06/01/2015,"Lesser, Philip",Philip Lesser,$2500.00,"Knowles, Jack"
06/30/2015,"Isbell, Reese",Clsa,$400.00,Clsa
06/01/2015,"Ross, James",James Ross,$10500.00,Gap Inc.
06/01/2015,"Yaki, Michael",Michael Yaki,$2000.00,Barneys New York
06/30/2015,"Wright, Christopher",Committee On Jobs,$299.00,Committee On Jobs
06/08/2015,"Tunny, Thomas","Reuben, Junius & Rose, Llp",$320.00,"2178 Pine Street, Llc"
06/25/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$150.00,Equity Residential
06/17/2015,"Tunny, Thomas","Reuben, Junius & Rose, Llp",$200.00,George Mcnabb
06/22/2015,"Tunny, Thomas","Reuben, Junius & Rose, Llp",$240.00,"Civitas Equity Fund 1, Llc"
06/23/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$337.50,Trust For Children Of Henry Wong
06/30/2015,"Kevlin, John","Reuben, Junius & Rose, Llp",$900.00,Rubicon Point Partners
06/30/2015,"Kevlin, John","Reuben, Junius & Rose, Llp",$300.00,Boston Properties
06/18/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$75.00,Grosvenor Americas
06/29/2015,"Kevlin, John","Reuben, Junius & Rose, Llp",$100.00,290 Division Llc
06/29/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$412.50,Dennis Ring
06/22/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$150.00,Clara\6th Llc
06/03/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$75.00,Dennis Ring
06/08/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$375.00,"Mt Ventures, Llc"
06/29/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$75.00,Dennis Ring
06/05/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$112.50,Tidewater Capital
06/05/2015,"Tunny, Thomas","Reuben, Junius & Rose, Llp",$120.00,"2178 Pine Street, Llc"
06/29/2015,"Kevlin, John","Reuben, Junius & Rose, Llp",$350.00,Boston Properties
06/11/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$337.50,Grosvenor Americas
06/11/2015,"Tunny, Thomas","Reuben, Junius & Rose, Llp",$80.00,"2178 Pine Street, Llc"
06/16/2015,"Tunny, Thomas","Reuben, Junius & Rose, Llp",$280.00,George Mcnabb
06/02/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$112.50,Grosvenor Americas
06/29/2015,"Kevlin, John","Reuben, Junius & Rose, Llp",$150.00,"Dkr Partners, Lp"
06/22/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$412.50,Acadia Realty Trust
06/25/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$112.50,Grosvenor Americas
06/09/2015,"Tunny, Thomas","Reuben, Junius & Rose, Llp",$80.00,George Mcnabb
06/18/2015,"Loper, Mark","Reuben, Junius & Rose, Llp",$37.50,Grosvenor Americas
06/29/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp",$1080.00,Tidewater Capital
06/11/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp",$600.00,Golub Real Estate Corp.
06/02/2015,"Reuben, James","Reuben, Junius & Rose, Llp",$195.00,Altschool
06/30/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp",$120.00,Nixon Peabody Llp
06/02/2015,"Reuben, James","Reuben, Junius & Rose, Llp",$1137.50,Nixon Peabody Llp
06/02/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp",$1080.00,"Umv, Llc"
06/29/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp",$300.00,Golub Real Estate Corp.
06/11/2015,"Reuben, James","Reuben, Junius & Rose, Llp",$325.00,Police Officers Association
06/04/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp",$480.00,"Tishman Speyer Properties, L.p."
06/02/2015,"Reuben, James","Reuben, Junius & Rose, Llp",$85.00,Trinity Properties
06/30/2015,"Clemens, Alex",Barbary Coast Consulting,$600.00,"Paramount Group, Inc."
06/04/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp",$300.00,"Align Otis, Llc"
06/04/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$100.00,Gemdale Usa Corporation
06/04/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp",$60.00,Udr
06/10/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp",$120.00,Udr
06/01/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp",$60.00,Udr
06/11/2015,"Reuben, James","Reuben, Junius & Rose, Llp",$325.00,Nixon Peabody Llp
06/02/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp",$240.00,Udr
06/30/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp",$300.00,"Tishman Speyer Properties, L.p."
06/30/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp",$300.00,"Tishman Speyer Properties, L.p."
06/23/2015,"Reuben, James","Reuben, Junius & Rose, Llp",$195.00,Altschool
06/22/2015,"Reuben, James","Reuben, Junius & Rose, Llp",$325.00,Police Officers Association
06/10/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp",$300.00,Golub Real Estate Corp.
06/16/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp",$300.00,Golub Real Estate Corp.
06/29/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp",$120.00,Golub Real Estate Corp.
